num_samples_original,num_features_original,num_samples_after_preprocessing,num_features_after_preprocessing,num_classes,binary_features,categorical_features,numeric_features,class_imbalance,variance_explained,avg_feature_correlation,max_correlation,intrinsic_dimensionality,pca_variance,outlier_fraction,linear_performance,nonlinear_performance,tree_performance
1000000,39,1000000,39,2,3,36,0,0.15404600000000004,0.1749577403378695,0.1461894312078214,1.000000000000002,20.1284018247667,781.0,0.0042074624161437,0.7990935447164457,0.7016744898373561,0.7925171046718757
1000000,34,1000000,34,6,1,33,0,0.6944814523284372,0.425660467755372,0.0561224309285998,0.7249152415813338,25.384383271090137,26.0,0.0062019207010723,0.9644944079104337,0.9436350922727476,0.9760089856355944
1000000,19,1000000,19,7,0,19,0,0.004266450313339354,0.6066380020164883,0.0726459597711242,0.902871813372556,5.626909816091797,12.0,0.0065041985665074,0.72856520061706,0.7940184564367726,0.8745917409272167
1000000,29,1000000,29,2,20,9,0,0.877522,0.4336461872267914,0.027270401919828,0.9928266232539475,5.717619787290401,23.0,0.022516762739475,0.6578582079365249,0.6816402141825814,0.8131034740725887
1000000,60,1000000,60,2,0,60,0,0.06711199999999998,0.3920978365173382,0.0436019501360388,0.8381653188800977,37.568674091962144,45.0,0.0084163366534661,0.7734726541989797,0.7602897632328077,0.8653254285342115
137781,9,137781,9,7,0,9,0,0.9873620945167133,0.7101997190731808,0.0412141059943702,0.4396572894100478,5.136454970653086,8.0,0.0143522592918544,0.4125677095063389,0.5621531635166646,0.6630131203003745
1000000,35,1000000,35,19,16,19,0,0.8293251752568834,0.363453030763036,0.0389623153605535,0.6242374001597829,15.386215918802955,29.0,0.0085842306197563,0.8300169510032261,0.8365064201676095,0.9380852881625553
1000000,57,1000000,57,2,0,57,0,0.211896,0.5221620615297017,0.0710259602817877,1.000000000000001,5.081405793224955,47.0,0.0085463067645512,0.7342074850267744,0.7147077020562312,0.762292234196502
1000000,13,1000000,13,5,3,10,0,0.994034231271247,0.5111033571241765,0.0220535274826256,0.3385328344724456,8.762743937769438,12.0,0.002335664895172,0.571635916333384,0.7501653996988074,0.9165415955870978
39366,9,39366,9,2,0,9,0,0.3057968805568257,0.6476685323597713,0.0235428892347041,0.1871471150008115,9.0,9.0,0.0,0.5502802271185262,0.6604779760603384,0.7650842926917941
1000000,13,1000000,13,5,3,10,0,0.9947872890289559,0.5283038435226378,0.0156447309310358,0.3131016219466067,5.353324754655974,12.0,0.0141709312809844,0.5152849338569778,0.7230989092698649,0.913379631611415
1000000,32,1000000,32,2,17,15,0,0.002238000000000016,0.3449579515992694,0.018818478255923,0.565311435842129,22.60500989244772,23.0,0.0,0.8607922727569992,0.8756961354794738,0.9466460109416959
1000000,13,1000000,13,2,0,13,0,0.10864799999999995,0.5473283867154863,0.039059934887109,0.5247225376714096,7.46287013800075,12.0,0.0022708600651718,0.881996791224814,0.9024376303835734,0.914751297876582
1000000,18,1000000,18,4,0,18,0,0.04722626819164778,0.7374000490797333,0.1396186894799636,0.8238884081880331,7.6377474180856515,14.0,0.0049317029154609,0.5455913597415339,0.5916389764251888,0.7120240386187943
1000000,19,1000000,19,2,13,6,0,0.5820960000000001,0.477236244337452,0.0499507103271215,0.5656712067568368,10.153601388350358,17.0,0.0070802832113284,0.8498278768590369,0.8569814812917134,0.9008119223546873
131072,16,131072,16,2,16,0,0,0.22694396972656253,0.6322922239788261,0.1177751079558939,0.7027622444677006,6.861908970532398,13.0,0.0,0.9424250883574561,0.9436001717294045,0.9644362025857259
1000000,29,1000000,29,4,20,9,0,0.9985334495886835,0.4105329627776302,0.0252317868285321,0.991676533096306,5.970595599729761,22.0,0.0124575483280041,0.7915136643532316,0.751908174391931,0.8393000452571298
1000000,34,1000000,34,2,0,34,0,0.28204999999999997,0.4380235954882764,0.0610061410991782,0.6508669418337388,28.25310468592427,29.0,0.0,0.8934541116625446,0.8930315063703004,0.9475282712418013
1000000,40,1000000,40,3,0,40,0,0.010858034601475563,0.2496627001864632,0.0224141254090962,0.5649292317775668,40.0,36.0,0.0,0.8504103060825615,0.8149019636932309,0.8937871955142146
1000000,17,1000000,17,7,15,2,0,0.8042276481999253,0.2060598489617904,0.0499692479701808,1.0000000000000009,7.049332154078416,102.0,0.0085951223924,0.884686546433627,0.6523383064464637,0.9334417513338638
1455525,72,1455525,72,10,44,6,22,0.9999938889313269,0.5015700452739982,0.0531041385495904,1.0,8.162457671103722,45.0,0.0094576587380904,0.5672702037945586,0.5948050017864708,0.7028850416224445
581012,54,581012,54,7,44,0,10,0.9807934332699407,0.392265363017823,0.0464485860907341,1.0,6.232074413218183,41.0,0.0201208048321932,0.5372642531982005,0.5526326749889771,0.6848306395607239
45312,8,45312,8,2,0,1,7,0.1509092514124294,0.9022133262309544,0.1105441991270807,0.7491131155028367,7.758004353449476,7.0,0.0017750710028401,0.7309406541873896,0.7899259871051453,0.7963514492608829
1000000,10,1000000,10,2,0,0,10,1.3999999999984023e-05,0.5635638089843904,0.0180749669856861,0.2300866066454056,10.0,10.0,0.0,0.6922741051810334,0.718138100259513,0.7196010618829698
1000000,10,1000000,10,2,0,0,10,0.00033200000000001154,0.5316132533415131,0.0111182124329632,0.0816371086118656,10.0,10.0,0.0,0.869088372151484,0.9102698982557057,0.9143840732440905
1000000,24,1000000,24,10,24,0,0,0.006976244812759975,0.2558840479517752,0.0081184190890327,0.2381535019252552,24.0,23.0,0.0,0.4893129530462252,0.5415545977342052,0.6416819688660156
829201,10,829201,10,10,0,5,5,0.9999903736932289,0.7678055302137947,0.0786404612246243,0.8421783711246789,10.0,8.0,0.0017766395902524,0.3834753566750196,0.6439661801146631,0.845552485658604
1000000,10,1000000,10,5,0,0,10,0.527948697713138,0.6381928004927282,0.0369935046815043,0.2600499519635619,10.0,10.0,0.0059247109653158,0.3593843159948506,0.646183473581078,0.8129180216419893
1000000,10,1000000,10,5,0,0,10,0.527948697713138,0.6362291567037321,0.0385262352925123,0.284196112544297,10.0,10.0,0.0058687042445093,0.4217633654630064,0.6228911661112337,0.7422518893871285
1000000,10,1000000,10,5,0,0,10,0.527948697713138,0.6386369669496438,0.0395148661199471,0.3079839200983245,10.0,10.0,0.0057766932031843,0.4556800130982743,0.6439302729082653,0.7556919227801014
1000000,10,1000000,10,5,0,0,10,0.527948697713138,0.5467008433412567,0.0116328157511839,0.19879380400234,10.0,10.0,0.0051846221546585,0.1917232565737296,0.28157652608601763,0.32246169385586126
1000000,10,1000000,10,5,0,0,10,0.527948697713138,0.5622174426975866,0.0221564163928721,0.1415641095899528,10.0,10.0,0.0051646197543705,0.2117379302043859,0.2815331640843104,0.32683316640971405
1000000,3,1000000,3,2,0,0,3,0.228684,0.9999999999999968,0.0394989439500683,0.3474744853992745,3.0,3.0,0.0,0.8171848388471225,0.8672782438783254,0.8674980859273699
1000000,3,1000000,3,2,0,0,3,0.22866400000000003,1.000000000000001,0.0401914634209317,0.3495276081075194,3.0,3.0,0.0,0.8208759593354884,0.8695800668762917,0.8697705249538381
